id,date,vaccines,confirmed,tests,recovered,deaths,population,confirmed_per,deaths_per,ratio,tests_per,vaccines_per,new_cases,new_cases_per
Germany,2021-12-06,129161402.0,6251907.0,,6141170.0,109915.0,82905782.0,7540.978263735574,132.5782078745726,1.758103567439503,,1.5579299644022415,42544.0,51.31608311709806
Germany,2021-12-07,130252651.0,6321233.0,,6210093.0,110283.0,82905782.0,7624.598486990932,133.02208523887995,1.7446438060422707,,1.5710924842371066,69326.0,83.62022325535781
Germany,2021-12-08,131540501.0,6388458.0,,6276927.0,110644.0,82905782.0,7705.684508228871,133.45751928375756,1.731935938218581,,1.586626382705129,67225.0,81.08602123793935
Germany,2021-12-09,132790702.0,6446139.0,,6334263.0,110953.0,82905782.0,7775.258666518579,133.83023152715694,1.7212318878013646,,1.6017061632685643,57681.0,69.57415828970807
Germany,2021-12-10,134014639.0,6497270.0,,6385046.0,111264.0,82905782.0,7836.932290199012,134.20535614753624,1.712473084849483,,1.616469150486995,51131.0,61.673623680432684
Germany,2021-12-11,135002419.0,6531944.0,,6419481.0,111475.0,82905782.0,7878.75566990008,134.459861918919,1.7066129164610107,,1.6283836391531774,34674.0,41.823379701068006
Germany,2021-12-12,135319181.0,6547480.0,89624241.0,6434895.0,111582.0,82905782.0,7897.495014280186,134.58892408734533,1.7041976455063628,108103.72791610601,1.6322043859377624,15536.0,18.73934438010656
Germany,2021-12-13,136126591.0,6579032.0,,6466161.0,111821.0,82905782.0,7935.552673515582,134.8772031364471,1.6996573356080347,,1.641943272424594,31552.0,38.05765923539548
Germany,2021-12-14,137263631.0,6639300.0,,6526007.0,112126.0,82905782.0,8008.24724142883,135.24509062588663,1.688822616842137,,1.6556581180308991,60268.0,72.69456791324865
Germany,2021-12-15,138897338.0,6691709.0,,6556721.0,112385.0,82905782.0,8071.4623739994395,135.55749344478772,1.6794663366264133,,1.675363703824662,52409.0,63.21513257060906
Germany,2021-12-16,140288402.0,6739006.0,,6584192.0,112616.0,82905782.0,8128.511471009344,135.83612298596978,1.6711069852141398,,1.6921425576807176,47297.0,57.04909700990447
Germany,2021-12-17,141575059.0,6780253.0,,6606700.0,112833.0,82905782.0,8178.263127654956,136.09786588829232,1.6641414413296967,,1.7076620663200548,41247.0,49.75165664561246
Germany,2021-12-18,142529501.0,6808842.0,,6621857.0,112966.0,82905782.0,8212.746850394584,136.25828895745775,1.6591073783177814,,1.7191744358674526,28589.0,34.48372273962741
Germany,2021-12-19,142908084.0,6821081.0,91161452.0,6628386.0,113039.0,82905782.0,8227.509391323274,136.34634071722525,1.6572006695126476,109957.89413095458,1.723740860438419,12239.0,14.762540928690214
Germany,2021-12-20,143883966.0,6848006.0,,6642925.0,113202.0,82905782.0,8259.986016415598,136.54294944108963,1.653065140421898,,1.7355118367980655,26925.0,32.47662509232396
Germany,2021-12-21,145085898.0,6896309.0,,6667893.0,113367.0,82905782.0,8318.248539046408,136.74197054193397,1.6438793563339462,,1.7500094022392794,48303.0,58.262522630810054
Germany,2021-12-22,146264560.0,6937264.0,,6688500.0,113520.0,82905782.0,8367.64798865295,136.92651738089873,1.6363799907283332,,1.7642262876188781,40955.0,49.399449606542476
Germany,2021-12-23,147065170.0,6972290.0,,6706380.0,113648.0,82905782.0,8409.895946702487,137.0809095076143,1.6299953100057514,,1.7738831532883919,35026.0,42.247958049536464
Germany,2021-12-24,147143353.0,6994188.0,,6717337.0,113706.0,82905782.0,8436.309062255754,137.15086844003233,1.6257212416938178,,1.7748261876355018,21898.0,26.413115553266834
Germany,2021-12-25,147179307.0,7004618.0,,6722459.0,113750.0,82905782.0,8448.889608206096,137.20394073359083,1.623928671056723,,1.775259860645184,10430.0,12.58054595034264
Germany,2021-12-26,147249310.0,7015033.0,92389938.0,6727983.0,113803.0,82905782.0,8461.452061329088,137.267868723559,1.6222731952935932,111439.6798042385,1.7761042287738147,10415.0,12.562453122991428
Germany,2021-12-27,147836826.0,7039478.0,,6739943.0,113898.0,82905782.0,8490.937338966298,137.38245663010574,1.6179892884103053,,1.783190779142521,24445.0,29.485277637209947
Germany,2021-12-28,148539527.0,7082772.0,,6760976.0,113994.0,82905782.0,8543.15806345087,137.49825072514244,1.6094546033671562,,1.7916666777233945,43294.0,52.2207244845722
Germany,2021-12-29,149245269.0,7124434.0,,6771220.0,114081.0,82905782.0,8593.410288319817,137.60318912376943,1.6012640442735522,,1.8001792564962478,41662.0,50.25222486894745
Germany,2021-12-30,149795308.0,7165784.0,,6779449.0,114144.0,82905782.0,8643.286182379898,137.67917899863727,1.59290316314307,,1.8068137636045698,41350.0,49.8758940600801
Germany,2021-12-31,149919159.0,7194659.0,,6783190.0,114179.0,82905782.0,8678.114875027655,137.72139559578608,1.5869966874038088,,1.8083076401112772,28875.0,34.828692647757634
Germany,2022-01-01,149947178.0,7208819.0,,6784427.0,114199.0,82905782.0,8695.194504045568,137.74551936558538,1.5841568501026313,,1.8086456020642807,14160.0,17.07962901791325
Germany,2022-01-02,150098377.0,7223269.0,93337884.0,6785446.0,114224.0,82905782.0,8712.623927725572,137.7756740778345,1.5813338808232118,112583.08135854747,1.8104693469992237,14450.0,17.42942368000331
Germany,2022-01-03,150561120.0,7258807.0,,6787819.0,114258.0,82905782.0,8755.489454281971,137.81668448649336,1.574060310461485,,1.8160508998033453,35538.0,42.865526556399345
Germany,2022-01-04,151240866.0,7322868.0,,6789763.0,114293.0,82905782.0,8832.759095137659,137.85890108364214,1.5607682672963652,,1.8242499178163472,64061.0,77.26964085568761
Germany,2022-01-05,152031299.0,7386883.0,,6790963.0,114318.0,82905782.0,8909.973251322808,137.8890557958913,1.5475810297794077,,1.8337840296832373,64015.0,77.21415618514948
Germany,2022-01-06,152687295.0,7442061.0,,6791663.0,114333.0,82905782.0,8976.528319822133,137.90714862324077,1.5363082887925805,,1.8416965779298722,55178.0,66.55506849932499
Germany,2022-01-07,153412121.0,7495071.0,,6792013.0,114341.0,82905782.0,9040.468371675212,137.9167981311605,1.5255492576387868,,1.8504393457141506,53010.0,63.94005185307833
Germany,2022-01-08,153899051.0,7529630.0,,6792151.0,114346.0,82905782.0,9082.153039699933,137.92282907361033,1.5186137964282442,,1.8563126393283402,34559.0,41.68466802472176
Germany,2022-01-09,154069065.0,7550747.0,,6792210.0,114350.0,82905782.0,9107.624122042538,137.9276538275702,1.5144196991370522,,1.8583633286276704,21117.0,25.47108234260486
Germany,2022-01-10,154550464.0,7581381.0,,6792291.0,114351.0,82905782.0,9144.574500244145,137.92886001606016,1.5083135908879926,,1.86416990795648,30634.0,36.950378201607236
